,,,,,,,,,,,,,,,,,,,
420,6,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1 Brand,Model,Type,FL,Diam.,AFOV,Wt.,Eye Relief,Mfr's Field Stop ,Calc.FieldStop,Coatings,Edge black,Elem.,Mag.,Exit Pupil,TFOV,other currency, Price ,420,6.00
Astro Tech,Value Line Plossl,Plossl,9,1.25,52,,6.3,?,8.2,FMC,Y,4,47,1.5,1.11,, $ 22.95 ,420,6.00
Astro Tech,Value Line Plossl,Plossl,12,1.25,52,,8.4,?,10.9,FMC,Y,4,35,2.0,1.49,, $ 22.95 ,420,6.00
Astro Tech,Value Line Plossl,Plossl,15,1.25,52,,10.5,?,13.6,FMC,Y,4,28,2.5,1.86,, $ 22.95 ,420,6.00
Astro Tech,Value Line Plossl,Plossl,20,1.25,52,,14.0,?,18.2,FMC,Y,4,21,3.3,2.48,, $ 22.95 ,420,6.00
Astro Tech,Value Line Plossl,Plossl,25,1.25,52,,17.5,?,22.7,FMC,Y,4,17,4.2,3.10,, $ 22.95 ,420,6.00
Astro Tech,Value Line Plossl,Plossl,32,1.25,50,,22.4,?,27.9,FMC,Y,4,13,5.3,3.81,, $ 32.95 ,420,6.00
Astro Tech,Value Line Plossl,Plossl,40,1.25,40,,28.0,?,27.9,FMC,Y,4,11,6.7,3.81,, $ 32.95 ,420,6.00
Astromania,Kellner,Kellner,26,2.00,55,,?,?,25.0,FMC,?,3,16,4.3,3.40,, $ 35.00 ,420,6.00
Astromania,Kellner,Kellner,32,2.00,55,,?,?,30.7,FMC,?,3,13,5.3,4.19,, $ 44.25 ,420,6.00
Astromania,Kellner,Kellner,40,2.00,55,,?,?,38.4,FMC,?,3,11,6.7,5.24,, $ 56.00 ,420,6.00
Astromania,Planetary,General Use,2.5,1.25,58,,16.0,?,2.5,FC,?,5,168,0.4,0.35,, $ 36.40 ,420,6.00
Astromania,Planetary,General Use,3.2,1.25,58,,16.0,?,3.2,FC,?,5,131,0.5,0.44,, $ 38.99 ,420,6.00
Astromania,Planetary,General Use,4,1.25,58,,16.0,?,4.0,FC,?,5,105,0.7,0.55,, $ 38.99 ,420,6.00
